Designation,Date,Carrington Longitude
11391,2012-01-03,10.4
11395,2012-01-09,313.4
11399,2012-01-15,224.3
11401,2012-01-15,220.3
11402,2012-01-15,218.3
11405,2012-01-17,202.0
11408,2012-01-22,133.2
11410,2012-01-27,69.3
11417,2012-02-11,238.8
11419,2012-02-13,202.5
11420,2012-02-13,202.5
11421,2012-02-19,133.5
11423,2012-02-24,56.7
11424,2012-02-25,45.5
11429,2012-03-04,300.1
11432,2012-03-10,220.1
11433,2012-03-12,199.7
11434,2012-03-12,204.7
11436,2012-03-17,134.8
11438,2012-03-21,75.1
11443,2012-03-23,55.7
11445,2012-03-24,28.5
11448,2012-03-29,343.6
11454,2012-04-11,157.0
11458,2012-04-15,104.2
11459,2012-04-15,95.2
11461,2012-04-18,68.6
11467,2012-04-25,330.1
11469,2012-04-25,334.1
11470,2012-04-29,288.3
11471,2012-04-29,279.3
11474,2012-05-03,225.4
11475,2012-05-04,222.2
11476,2012-05-06,189.8
11477,2012-05-09,144.1
11478,2012-05-11,135.7
11479,2012-05-12,112.4
11481,2012-05-14,90.0
11484,2012-05-14,76.0
11486,2012-05-19,17.9
11488,2012-05-23,336.9
11490,2012-05-25,307.5
11492,2012-05-26,287.2
11493,2012-06-01,208.9
11494,2012-06-01,203.9
11496,2012-06-02,200.6
11498,2012-06-02,190.6
11504,2012-06-10,86.7
11505,2012-06-10,90.7
11506,2012-06-11,74.5
11513,2012-06-27,217.7
11515,2012-06-28,205.5
11518,2012-07-05,117.8
11519,2012-07-05,106.8
11526,2012-07-21,268.1
11527,2012-07-24,227.4
11528,2012-07-24,224.4
11529,2012-07-24,220.4
11530,2012-07-25,210.2
11532,2012-07-27,184.7
11534,2012-07-29,170.3
11535,2012-07-31,134.8
11537,2012-08-01,109.6
11538,2012-08-01,117.6
11539,2012-08-03,99.1
11540,2012-08-04,85.9
11541,2012-08-04,81.9
11542,2012-08-07,31.2
11543,2012-08-08,23.0
11546,2012-08-17,265.0
11548,2012-08-19,231.6
11555,2012-08-26,146.1
11558,2012-08-28,110.7
11559,2012-08-29,112.5
11562,2012-08-31,93.0
11563,2012-08-31,78.0
11564,2012-09-01,65.8
11566,2012-09-04,20.2
11567,2012-09-08,347.4
11569,2012-09-11,298.8
11571,2012-09-13,280.4
11573,2012-09-17,222.6
11575,2012-09-19,183.2
11576,2012-09-20,183.0
11579,2012-09-25,109.0
11580,2012-09-26,98.8
11582,2012-09-27,84.6
11585,2012-10-03,10.4
11586,2012-10-08,301.4
11589,2012-10-10,266.0
11590,2012-10-12,255.6
11591,2012-10-13,229.5
11593,2012-10-16,183.9
11594,2012-10-16,200.9
11596,2012-10-19,149.3
11598,2012-10-21,113.9
11599,2012-10-24,83.4
11602,2012-10-30,12.2
11608,2012-11-06,282.9
11609,2012-11-07,260.8
11610,2012-11-08,263.6
11611,2012-11-09,239.4
11612,2012-11-09,234.4
11613,2012-11-12,208.8
11614,2012-11-12,193.8
11615,2012-11-12,204.8
11616,2012-11-15,165.3
11620,2012-11-21,88.2
11621,2012-11-25,18.5
11623,2012-11-28,340.9
11628,2012-12-06,244.5
11633,2012-12-16,108.7
11634,2012-12-16,108.7
11635,2012-12-19,66.2
11636,2012-12-26,347.0
11638,2012-12-28,312.7
11639,2012-12-28,312.7
