Date,Frequency
2013-01-01,1
2013-01-03,1
2013-01-04,1
2013-01-05,2
2013-01-06,2
2013-01-09,1
2013-01-14,1
2013-01-23,1
2013-01-24,1
2013-01-30,2
2013-02-02,1
2013-02-12,1
2013-02-16,1
2013-02-17,1
2013-02-18,1
2013-02-26,1
2013-02-28,1
2013-03-02,1
2013-03-04,1
2013-03-05,1
2013-03-07,1
2013-03-10,1
2013-03-11,1
2013-03-12,1
2013-03-24,1
2013-03-29,1
2013-03-31,1
2013-04-03,1
2013-04-06,2
2013-04-14,1
2013-04-20,1
2013-04-24,1
2013-04-26,1
2013-04-28,1
2013-04-30,1
2013-05-04,2
2013-05-05,1
2013-05-07,1
2013-05-10,1
2013-05-11,1
2013-05-12,1
2013-05-14,1
2013-05-21,1
2013-05-22,1
2013-05-26,1
2013-05-27,1
2013-05-28,1
2013-05-30,1
2013-06-14,2
2013-06-15,2
2013-06-16,3
2013-06-21,1
2013-06-23,1
2013-07-01,1
2013-07-02,1
2013-07-04,1
2013-07-15,2
2013-07-19,2
2013-07-24,1
2013-07-28,1
2013-07-31,1
2013-08-01,1
2013-08-08,2
2013-08-11,1
2013-08-14,1
2013-08-16,2
2013-08-19,1
2013-08-20,1
2013-08-25,2
2013-08-28,1
2013-09-06,1
2013-09-12,1
2013-09-18,3
2013-09-20,1
2013-09-23,1
2013-09-29,1
2013-10-03,2
2013-10-08,1
2013-10-09,2
2013-10-14,1
2013-10-15,1
2013-10-16,1
2013-10-17,1
2013-10-18,1
2013-10-19,1
2013-10-25,1
2013-10-27,3
2013-10-31,1
2013-11-03,1
2013-11-07,1
2013-11-09,1
2013-11-11,2
2013-11-12,1
2013-11-13,1
2013-11-18,1
2013-11-24,1
2013-11-28,1
2013-12-03,1
2013-12-08,1
2013-12-09,1
2013-12-10,2
2013-12-14,1
2013-12-19,1
2013-12-21,1
2013-12-24,1
2013-12-27,1
2013-12-28,1
