Combined Name,Mean Strength,Prediction Date,dB0
FS-2012-046_2013-01,240.0,2013-01-02.2,290.6267375339055
FS-2013-001_2013-01,544.5,2013-01-06.1,368.35733080334626
FS-2013-002_2013-01,760.0,2013-01-08.4,412.8361684648722
FS-2013-003_2013-01,505.85,2013-01-22.4,241.3624971986082
FS-2013-004_2013-01,299.6842105263158,2013-02-04.0,149.32834973294032
FS-2013-005_2013-02,523.6190476190476,2013-03-09.4,210.29907208528346
FS-2013-006_2013-03,818.1875,2013-03-30.3,381.47005636782745
FS-2013-007_2013-03,342.27777777777777,2013-04-05.3,158.30765838708726
FS-2013-008_2013-03,407.6666666666667,2013-04-02.0,252.3993226198836
FS-2013-009_2013-04,239.57142857142858,2013-04-12.7,188.32340617818684
FS-2013-010_2013-04,303.0625,2013-04-20.1,142.50126893897536
FS-2013-011_2013-04,687.5416666666666,2013-05-22.7,268.3889940994648
FS-2013-012_2013-04,608.0,2013-05-24.6,324.08785185074515
FS-2013-013_2013-04,154.8181818181818,2013-05-01.2,109.86685064621219
FS-2013-014_2013-04,2145.4545454545455,2013-05-03.0,1380.3858955276846
FS-2013-015_2013-04,530.7272727272727,2013-05-19.9,371.6294760181391
FS-2013-016_2013-04,707.4545454545455,2013-05-19.2,538.1192476560732
FS-2013-017_2013-04,888.0,2013-05-06.3,685.4340442039542
FS-2013-018_2013-04,385.5,2013-05-06.9,647.9825545265678
FS-2013-019_2013-04,151.8,2013-05-16.4,221.19326691584615
FS-2013-020_2013-04,850.1363636363636,2013-05-10.9,335.2168338504467
FS-2013-021_2013-05,695.6842105263158,2013-05-21.0,300.7991887081222
FS-2013-022_2013-05,924.25,2013-05-25.5,412.1275691209903
FS-2013-023_2013-05,358.90909090909093,2013-06-04.4,219.92700424567667
FS-2013-024_2013-06,313.0,2013-06-20.0,320.614286481763
FS-2013-025_2013-06,332.6666666666667,2013-07-01.3,265.5112387709339
FS-2013-026_2013-07,252.42105263157896,2013-07-19.3,130.4201943274304
FS-2013-027_2013-07,582.6842105263158,2013-07-29.0,307.57564378415344
FS-2013-028_2013-07,289.6666666666667,2013-07-23.1,329.37404306751984
FS-2013-029_2013-07,186.11111111111111,2013-08-01.4,138.50173470061202
FS-2013-030_2013-07,430.75,2013-07-31.1,413.5977453342429
FS-2013-031_2013-08,752.3684210526316,2013-08-13.1,331.44243031158885
FS-2013-032_2013-08,397.77777777777777,2013-08-19.1,251.5100106392032
FS-2013-033_2013-08,549.0869565217391,2013-08-27.1,239.75423707455187
FS-2013-034_2013-08,319.5,2013-08-24.4,305.7558736431613
FS-2013-035_2013-08,728.7692307692307,2013-09-08.4,413.5237382887539
FS-2013-036_2013-09,1131.7727272727273,2013-09-19.5,458.2629707241574
FS-2013-037_2013-10,793.7142857142857,2013-10-07.3,407.575142168644
FS-2013-038_2013-10,519.0,2013-10-13.2,279.5104444302719
FS-2013-039_2013-10,499.4166666666667,2013-10-19.1,270.0008116571848
FS-2013-040_2013-10,708.0952380952381,2013-10-26.5,288.0284197581637
FS-2013-041_2013-10,1489.7083333333333,2013-11-03.1,585.0500337077954
FS-2013-042_2013-10,868.9090909090909,2013-11-04.4,532.9828943387311
FS-2013-043_2013-10,2024.0714285714287,2013-11-13.1,737.3778882217617
FS-2013-044_2013-11,284.3333333333333,2013-11-11.9,459.4757248483661
FS-2013-045_2013-11,809.45,2013-11-14.8,340.7669531206501
FS-2013-046_2013-11,508.6,2013-11-10.3,298.2710663571615
FS-2013-047_2013-11,543.0869565217391,2013-11-23.1,211.95895574685147
FS-2013-048_2013-11,713.0,2013-11-29.3,304.57795607096745
FS-2013-049_2013-11,1094.2173913043478,2013-12-04.5,417.0882928805618
FS-2013-050_2013-11,327.26666666666665,2013-12-02.2,156.73445941653233
FS-2013-051_2013-11,459.75,2013-12-07.7,233.1762532511265
FS-2013-052_2013-11,1415.9130434782608,2013-12-09.5,540.8569614397599
FS-2013-053_2013-12,1469.9166666666667,2013-12-19.3,565.630465142048
FS-2013-054_2013-12,377.2,2013-12-20.5,331.9089512446243
FS-2013-055_2013-12,257.6,2013-12-24.4,183.1095821523778
FS-2013-056_2013-12,1005.0416666666666,2013-12-27.0,404.49109095429566
FS-2013-057_2013-12,269.6666666666667,2013-12-23.2,304.3485842483346
FS-2013-058_2013-12,1762.75,2014-01-02.2,855.4131136170223
FS-2013-059_2013-12,745.8571428571429,2014-01-07.6,514.1540813790027
